Entry	Subcellular location [CC]	Protein names	Gene names	Entry name	Intramembrane	Transmembrane	Topological domain
O31602	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.	Global transcriptional regulator Spx (Redox-responsive transcription factor Spx) (Suppressor of clpP and clpX) (Spx)	spx spxA yjbD BSU11500	SPX_BACSU			
Q45493	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01491, ECO:0000269|PubMed:15831787, ECO:0000269|PubMed:17005971}. Note=Colocalizes with ribosomes.	Ribonuclease J1 (RNase J1) (EC 3.1.-.-)	rnjA ykqC BSU14530	RNJ1_BACSU			
P39633		Catabolic NAD-specific glutamate dehydrogenase RocG (NAD-GDH) (EC 1.4.1.2) (Glutamate dehydrogenase) (GlutDH) (Trigger enzyme RocG)	rocG gudA yweB BSU37790 ipa-75d	DHE2_BACSU			
P35149	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}. Note=Uniformly distributed on the membrane around the forespore, lying close to or on its outer surface. Expression only necessary in the mother cell chamber of the sporangium for the formation of a mature spore. According to PubMed:8299942, not a coat protein of the mature spore, is only transiently associated with the assembling coat. According to PubMed:9922240, present as a component of the fully mature spore. Proper localization requires the expression of a gene spoVM which is under the control of the mother cell transcription factor sigma E. {ECO:0000269|PubMed:1729247, ECO:0000269|PubMed:17427285, ECO:0000269|PubMed:18691972, ECO:0000269|PubMed:19775244, ECO:0000269|PubMed:23267091, ECO:0000269|PubMed:8299942, ECO:0000269|PubMed:8936302, ECO:0000269|PubMed:9922240}.	Stage IV sporulation protein A (EC 3.6.1.-) (Coat morphogenetic protein SpoIVA)	spoIVA spoVP BSU22800	SP4A_BACSU			
Q45588	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305|PubMed:16899079}; Single-pass membrane protein {ECO:0000269|PubMed:16899079}. Note=Site-2 clipped RsiW is released from the membrane to the cytoplasm (PubMed:16899079). {ECO:0000269|PubMed:16899079}.	Anti-sigma-W factor RsiW (Regulator of SigW) (Sigma-W anti-sigma factor RsiW)	rsiW ybbM BSU01740	RSIW_BACSU		TRANSMEM 88..108;  /note="Helical";  /evidence="ECO:0000255"	TOPO_DOM 1..87;  /note="Cytoplasmic";  /evidence="ECO:0000305|PubMed:28319136"; TOPO_DOM 109..208;  /note="Extracellular";  /evidence="ECO:0000255"
P12425	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:17001076}.	Glutamine synthetase (GS) (EC 6.3.1.2) (Glutamate--ammonia ligase) (Glutamine synthetase I alpha) (GSI alpha)	glnA BSU17460	GLN1A_BACSU			
Q45666	SUBCELLULAR LOCATION: Cell membrane. Note=Under poor nitrogen source such as nitrate, TnrA is associated with the cell membrane via the ammonium uptake proteins AmtB and its cognate regulator GlnK (PubMed:21435182). Without usable nitrogen source, TnrA is released from the membrane to the cytoplasm where it is degraded by proteolysis (PubMed:21435182). The presence of 4 mM ATP leads to concomitant solubilization of GlnK and TnrA (PubMed:17001076). GlnK and Amtb are required for the membrane association of TnrA (PubMed:17001076). {ECO:0000269|PubMed:17001076, ECO:0000269|PubMed:21435182}.	HTH-type transcriptional regulator TnrA (Transcriptional nitrogen regulatory protein A) (TnrA)	tnrA scgR BSU13310	TNRA_BACSU			
P20964	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01454, ECO:0000269|PubMed:10781545}. Note=Cofractionates with the ribosome and stress response regulators RsbR, RsbS and RsbT in size fractionation columns; binds to ribosomal protein L13. {ECO:0000269|PubMed:10781545, ECO:0000269|PubMed:15325267}.	GTPase Obg (EC 3.6.5.-) (GTP-binding protein Obg) (OrfA) (Spo0B-associated GTP-binding protein)	obg BSU27920	OBG_BACSU			
O31774	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:20572937}; Single-pass membrane protein {ECO:0000269|PubMed:20572937}.	Ribonuclease Y (RNase Y) (EC 3.1.-.-)	rny ymdA BSU16960	RNY_BACSU		TRANSMEM 4..24;  /note="Helical";  /evidence="ECO:0000255"	TOPO_DOM 1..3;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 25..520;  /note="Cytoplasmic";  /evidence="ECO:0000255"
P37573	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:21566650}. Note=Present in a puncate pattern at 1.5 hours after sporulation onset, does not co-localize with c-di-AMP phosphodiesterase GdpP. {ECO:0000269|PubMed:21566650}.	DNA integrity scanning protein DisA (Cyclic di-AMP synthase) (c-di-AMP synthase) (Diadenylate cyclase) (DAC) (EC 2.7.7.85)	disA comY orf6 yacK BSU00880	DISA_BACSU			
P08164		NH(3)-dependent NAD(+) synthetase (EC 6.3.1.5) (General stress protein 38) (GSP38) (Spore outgrowth factor B) (Sporulation protein OutB)	nadE outB BSU03130	NADE_BACSU			
P09339		Aconitate/2-methylaconitate hydratase (EC 4.2.1.-) (EC 4.2.1.3) (Aconitate hydratase A) (ACN) (Aconitase) (Iron-responsive protein-like) (IRP-like) (RNA-binding protein)	citB BSU18000	ACNA_BACSU			
P39792	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.	Holliday junction resolvase RecU (EC 3.1.22.4)	recU prfA yppB BSU22310	RECU_BACSU			
P96614	SUBCELLULAR LOCATION: Cytoplasm, nucleoid. Cell membrane. Note=Shows transcription-dependent localization at subcellular sites surrounding the nucleoid (PubMed:16352840). Associated with free 50S ribosomal subunit, 70S ribosome and polysomes (PubMed:16861794). Cell membrane association shown in (PubMed:20572937). {ECO:0000269|PubMed:16352840, ECO:0000269|PubMed:16861794, ECO:0000269|PubMed:20572937}.	DEAD-box ATP-dependent RNA helicase CshA (EC 3.6.4.13)	cshA ydbR BSU04580	CSHA_BACSU			
